Property_ID,District,Locality,Area_Type,Property_Type,Area_sqft,BHK,Bathrooms,Property_Age_Years,Parking_Spaces,Furnishing,Floor,Distance_to_City_Center_km,Road_Access,Gated_Community,Price_INR,Research_Anchor_Rate_INR_per_sqft,Price_Data_Type
KHP100001,Thrissur,Kunnamkulam,Semi-Urban,Independent House,2496,3,3,20,2,Unfurnished,2,3.4,Main Road,No,7810000,3500,Research-informed synthetic estimate
KHP100002,Kollam,Punalur,Semi-Urban,Villa,2228,3,3,1,1,Semi-Furnished,0,3.4,Highway Access,No,8810000,3000,Research-informed synthetic estimate
KHP100003,Alappuzha,Ambalappuzha,Semi-Urban,Independent House,2928,5,5,21,1,Unfurnished,1,5.9,Narrow Road,Yes,8050000,3400,Research-informed synthetic estimate
KHP100004,Kottayam,Kumarakom,Semi-Urban,Villa,2153,3,3,25,0,Semi-Furnished,0,2.5,Main Road,No,14710000,6500,Research-informed synthetic estimate
KHP100005,Alappuzha,Cherthala,Semi-Urban,Independent House,4125,6,5,2,1,Unfurnished,2,16.0,Local Road,No,18950000,4700,Research-informed synthetic estimate
KHP100006,Kasaragod,Bekal,Semi-Urban,Villa,2320,3,3,23,0,Semi-Furnished,0,10.6,Local Road,No,7930000,4200,Research-informed synthetic estimate
KHP100007,Ernakulam,Kizhakkambalam,Semi-Urban,Apartment,2136,4,4,1,1,Unfurnished,7,6.3,Main Road,No,11790000,4700,Research-informed synthetic estimate
KHP100008,Kollam,Chinnakada,Urban,Independent House,3992,6,5,8,1,Semi-Furnished,2,2.8,Main Road,No,23970000,5000,Research-informed synthetic estimate
KHP100009,Alappuzha,Ambalappuzha,Rural,Villa,1546,2,2,26,1,Semi-Furnished,1,7.0,Narrow Road,Yes,4100000,3400,Research-informed synthetic estimate
KHP100010,Kollam,Kavanad,Semi-Urban,Independent House,2333,3,3,0,2,Semi-Furnished,2,3.4,Main Road,Yes,14000000,5000,Research-informed synthetic estimate
KHP100011,Wayanad,Panamaram,Rural,Villa,795,3,3,1,1,Fully Furnished,1,0.9,Main Road,Yes,2960000,2900,Research-informed synthetic estimate
KHP100012,Thiruvananthapuram,Technopark,Semi-Urban,Apartment,1056,2,2,16,0,Unfurnished,2,0.3,Narrow Road,Yes,6030000,7000,Research-informed synthetic estimate
KHP100013,Palakkad,Mannarkkad,Rural,Independent House,3276,5,5,0,2,Unfurnished,2,3.2,Main Road,Yes,12050000,2800,Research-informed synthetic estimate
KHP100014,Kottayam,Manarcadu,Semi-Urban,Independent House,1386,3,3,28,0,Semi-Furnished,0,3.8,Highway Access,No,4730000,3600,Research-informed synthetic estimate
KHP100015,Malappuram,Malappuram Town,Urban,Residential Plot,1272,2,2,5,1,Semi-Furnished,0,7.1,Local Road,No,4670000,4400,Research-informed synthetic estimate
